 Td        ID        Tj        Df        Dd        Db
384       907       319         0        65        65
385       810       292         0        93        93
385       569       213         4       168       172
386      2748       267        16       103       119
387      2964       355        12        20        32
387       924       327         0        60        60
389       659       244         5       140       145
390      2855       307        55        28        83
391      2856       307        28        56        84
391      2688       251         3       137       140
391      2761       269         2       120       122
392      2887       313        11        68        79
393      2848       305         0        88        88
394      2667       246        13       135       148
394      2918       327        23        44        67
394      1025       391         0         3         3
395       704       255         5       135       140
396      2661       244        14       138       152
396       712       257        32       107       139
396      1031       392         2         2         4
396       894       314         0        82        82
397      1023       391         0         6         6
398      1026       391         0         7         7
399      2655       243        37       119       156
399       613       230         0       169       169
399       535       206        13       180       193
400      2735       263        57        80       137
400      2930       328         0        72        72
401      2973       364         9        28        37
402      2709       257        31       114       145
402      1049       401         0         1         1
403      2971       360         0        43        43
403      2723       260        21       122       143
405      2813       295        29        81       110
405      2933       332        16        57        73
405      1028       391         0        14        14
405       817       295         3       107       110
406      2892       314        41        51        92
406      2996       368        17        21        38
406      1050       401         0         5         5
406       819       295         5       106       111
407       911       321         0        86        86
409      2935       332         4        73        77
409      3056       405         0         4         4
409      1048       401         0         8         8
410      2302       106        57       247       304
410      1052       405         0         5         5
410       974       364         0        46        46
410       830       298         0       112       112
410       834       302        34        74       108
410       809       292         0       118       118
411      2777       284        34        93       127
411      2839       302         7       102       109
411      2894       314        20        77        97
412      2722       260         0       152       152
412      4167       412         0         0         0
413      2934       332         3        78        81
413      3038       400         9         4        13
413      1057       405         0         8         8
414      2949       343        13        58        71
414      2807       292        33        89       122
414      1078       413         0         1         1
415      3010       375         3        37        40
415      2917       327        26        62        88
415      2998       368        13        34        47
415       874       310        51        54       105
416      2697       254         2       160       162
416      3077       413         0         3         3
416       876       312        50        54       104
417      2774       281        13       123       136
417      2888       313         7        97       104
420      3084       418         0         2         2
421      1069       412         0         9         9
422      1080       418         0         4         4
422      1062       411         0        11        11
422      1084       418         0         4         4
423      2926       328        46        49        95
424      2927       328         2        94        96
424      3009       375        19        30        49
424      2960       355        18        51        69
425      3042       400         7        18        25
425      2943       338         1        86        87
425      2984       366        24        35        59
425      2463       171        93       161       254
426      2905       319         0       107       107
426      3001       371         3        52        55
426      2814       295         9       122       131
426      3098       425         0         1         1
427      3034       392         0        35        35
427      2999       368        29        30        59
428      2965       355        61        12        73
428      2953       350         3        75        78
428      2740       263         0       165       165
428       514       191         5       232       237
429      2197        75        32       322       354
430      2849       305         6       119       125
430      3076       413         1        16        17
430      2976       364        16        50        66
430      2749       268         0       162       162
431      1108       430         0         1         1
432      3119       432         0         0         0
433      1126       433         0         0         0
434      2317       108        65       261       326
435      3022       391        24        20        44
435      1103       427         0         8         8
435      1099       425         0        10        10
437      2895       314         7       116       123
437      2878       312        76        49       125
438      3104       427         4         7        11
438      2319       108         0       330       330
438      3147       437         0         1         1
439      2200        75         0       364       364
439      1125       433         1         5         6
440       573       213        65       162       227
440       765       280        50       110       160
440      3040       400        35         5        40
442      3031       392         3        47        50
442      2871       310        19       113       132
443      2952       350        12        81        93
443      3168       442         0         1         1
444      2328       112         0       332       332
444      2205        76         0       368       368
445      3016       386        14        45        59
445      3008       375         0        70        70
446      4190       440         0         6         6
446      4196       446         0         0         0
447      2327       112        67       268       335
447      1163       442         0         5         5
447      1169       442         0         5         5
448      2769       280         0       168       168
448       606       228        20       200       220
449      3148       440         1         8         9
450      3011       375        24        51        75
450       480       173         7       270       277
450       781       284        52       114       166
450      1179       449         0         1         1
451      3066       412         3        36        39
451      3082       418        22        11        33
451      3063       411        37         3        40
451       612       230        21       200       221
452      3142       437         7         8        15
452      3151       440         3         9        12
453      3093       425         2        26        28
453      2775       281         0       172       172
454      3166       442         7         5        12
454      2330       114         0       340       340
454      2772       281         0       173       173
454      2338       115        68       271       339
455      3051       405        16        34        50
455      2144        53        25       377       402
456      3071       413        19        24        43
456      1151       440         0        16        16
457      3099       427         5        25        30
457      3153       440        16         1        17
458      3055       405         0        53        53
458      2489       187         0       271       271
459      2959       355        33        71       104
459      1208       458         0         1         1
461      2980       366         0        95        95
461      3203       457         0         4         4
462      1211       458         0         4         4
463      3130       434         8        21        29
463      1203       457         0         6         6
464      2966       360        41        63       104
464      2499       189       100       175       275
465      2796       290         0       175       175
467      3202       457         1         9        10
467      3197       457         7         3        10
468      3060       411         7        50        57
468      3144       437        16        15        31
468      3015       386        38        44        82
468      3037       400         8        60        68
469      3126       433        24        12        36
470      3109       430         2        38        40
470      3231       469         0         1         1
470      1232       469         0         1         1
471      3046       401         4        66        70
471      2808       292       178         1       179
472      3137       436         8        28        36
473      3152       440        30         3        33
473      2809       292       179         2       181
474      3088       423        50         1        51
474      1228       469         1         4         5
474      1225       468         0         6         6
475      2843       304        28       143       171
477      3095       425        19        33        52
477      2506       190         0       287       287
478      1155       440         0        38        38
481      3100       427         0        54        54
482      3074       413        23        46        69
482      3120       433         6        43        49
482      1246       482         0         0         0
482      1147       437         0        45        45
483      3198       457         0        26        26
483      1187       451         0        32        32
483      1166       442        24        17        41
484      3139       436        10        38        48
484      1244       482         0         2         2
484      1158       441         7        36        43
484      1212       467         0        17        17
485       751       268       147        70       217
486      1157       441         0        45        45
487      1192       456         8        23        31
488      3247       488         0         0         0
488      1087       423         0        65        65
489      2353       119        74       296       370
490      2787       289        27       174       201
490      2924       328         8       154       162
490      2145        53         0       437       437
491      3260       491         0         0         0
491      1259       489         0         2         2
491       839       302        50       139       189
491       922       327        52       112       164
491       607       228        54       209       263
491       496       188        16       287       303
491       695       254        84       153       237
491       586       222        42       227       269
491       778       284        51       156       207
491       697       254        33       204       237
491       641       238        30       223       253
491       617       234        24       233       257
491       571       213        12       266       278
491       678       247        32       212       244
491       577       214        13       264       277
491      1000       368         0       123       123
491      1008       371         0       120       120
491      1001       368         0       123       123
491       996       368         5       118       123
491       958       350         0       141       141
491       997       368         4       119       123
491      1011       375         0       116       116
491      1019       386         0       105       105
491       984       366         0       125       125
491      1022       386         0       105       105
491      1033       392         0        99        99
491      1034       392         0        99        99
491      1032       392         1        98        99
491      1017       386         1       104       105
491      1037       400         0        91        91
491      1042       400         0        91        91
491      1040       400         0        91        91
491      1043       400         0        91        91
491      1044       401         0        90        90
491       990       367         0       124       124
491       829       298         0       193       193
491       844       304         0       187       187
491      1088       423         0        68        68
491      1131       434         0        57        57
491      1154       440         0        51        51
491      1150       440         0        51        51
491      1199       457         0        34        34
491      1202       457         0        34        34
491      1231       469         0        22        22
491      1229       469         0        22        22
491      1216       467         0        24        24
491      1227       469         5        17        22
491      1213       467         0        24        24
491      1196       456         0        35        35
491      1239       479         0        12        12
491      1217       467         0        24        24
491      1267       491         0       491         0
492      2357       121        76       295       371
492      4223       491         0         1         1
492      1195       456         0        36        36
492      1266       491         0       492         1
493      2355       119        76       298       374
493      1258       489         0         4         4
497      3200       457         1        39        40
497      2962       355         3       139       142
497      3217       467         0        30        30
497      3114       432        29        36        65
497      2358       121         0       376       376
497      1278       495         0         2         2
498      3122       433         0        65        65
499       902       315        55       129       184
499      1280       495         0         4         4
500      3213       467         9        24        33
500      2846       304         0       196       196

Battle result: Win
The battle ended at Timestep: 501
For Earth Army:
Total Number of Each Units:
Earth Soldiers: 620
Earth Gunneries: 247
Earth Tanks: 410
Heal Units: 11

Percentage of destructed units relative to their count:
Earth Soldiers: 44.6774%
Earth Gunneries: 61.5385%
Earth Tanks: 63.4146%
Heal Units: 100%


For Alien Army:
Total Number of Each Units:
Alien Soldiers: 312
Alien Monsters: 450
Alien Drones: 526

Percentage of destructed units relative to their count:
Alien Soldiers: 27.8846%
Alien Monsters: 88.4444%
Alien Drones: 32.3194%

For Ally Army:
Total Number of Each Units:
Saver Units: 230
Percentage of destructed units relative to their count:
Saver Units: 6.52174%
Percentage of infected soldier: 59.0323%

Total Percentage of destructed units for the 3 armies: 48.8239%
Average of First Attack Delay (Df): 7.82628
Average of Destruction Delay (Dd): 52.8496
Average of Battle Time (Db): 58.4058

Df/Db: 13.3998%
Dd/Db: 90.4869%
