 Td        ID        Tj        Df        Dd        Db
 97      2230        81        11         5        16
 98      2222        79         7        12        19
 98       194        69         0        29        29
 99       247        86         8         5        13
 99       196        69         0        30        30
 99        86        41         0        58        58
100      2054        28         3        69        72
100      2092        43         9        48        57
100      2038        24         5        71        76
101      2140        53        22        26        48
101      2236        82        16         3        19
101       261        92         4         5         9
102      2123        48         0        54        54
102       254        89         8         5        13
102       298       100         0         2         2
102       199        75         0        27        27
102       242        85         0        17        17
103      2190        69        33         1        34
103      2121        48        19        36        55
103       200        75        28         0        28
104      2213        78         1        25        26
104       251        86         4        14        18
104       228        81         0        23        23
105      2099        44        10        51        61
105      2167        59        11        35        46
105       204        76         7        22        29
105       165        59         5        41        46
106      2194        69         7        30        37
106       270        93         9         4        13
107      2184        68         1        38        39
107      2294       100         7         0         7
107       291        98         4         5         9
107       186        68         5        34        39
107       292        98         0         9         9
107        71        36         1        70        71
107       128        49         9        49        58
107       117        47         3        57        60
107       171        63         9        35        44
107       209        76         3        28        31
107       221        79         4        24        28
107       222        79         4        24        28
107        93        43         2        62        64
107       103        44         3        60        63
107       106        45         3        59        62
107        80        40         2        65        67
107       184        68         5        34        39
107       238        82         3        22        25
107       137        51         5        51        56
107       136        51         5        51        56
107       187        68         5        34        39
107        99        44         3        60        63
107        55        28         2        77        79
107        82        40         6        61        67
107       141        53         4        50        54
107       207        76         3        28        31
107       177        67         4        36        40
107        65        33         1        73        74
107        89        41         3        63        66
107        51        28         0        79        79
107       127        49         4        54        58
107       119        47         3        57        60
107       100        44         3        60        63
107       185        68         5        34        39
107        54        28         0        79        79
107        49        26         1        80        81
107       125        48         4        55        59
107       133        49         5        53        58
107       202        75         3        29        32
107        39        24         1        82        83
107        81        40         2        65        67
107        64        33         1        73        74
107       102        44         3        60        63
107        75        36         2        69        71
107        58        30         1        76        77
107       109        45         3        59        62
107       144        53         4        50        54
107        46        26         0        81        81
107        77        36         2        69        71
107        63        30         1        76        77
107        72        36         7        64        71
107        56        28         1        78        79
107       129        49         5        53        58
107        38        24         2        81        83
107        53        28         0        79        79
107        68        33         0        74        74
107        48        26         0        81        81
107        50        28         0        79        79
107       168        59         0        48        48
107       210        76         0        31        31
107       220        79         0        28        28
107       249        86         0        21        21
107       287        95         0        12        12
107       315       107         0       107         0
108       213        78         4        26        30
108       320       108         0         0         0
110      2209        76         2        32        34
110       253        89         3        18        21
111      2231        82         0        29        29
111       309       107         0         4         4
111       313       107         0         4         4
112        97        43         0        69        69
113      2189        69         3        41        44
113       329       112         0         1         1
113       234        82         0        31        31
113       143        53         0        60        60
114       285        95         5        14        19
114       262        92         4        18        22
114       227        81         3        30        33
114       324       112         0         2         2
114       305       106         0         8         8
116      2280        95         0        21        21
116       340       115         0         1         1
117      2250        86         1        30        31
117      2288        98         6        13        19
117       299       100         4        13        17
118      2206        76        23        19        42
118      2104        44         0        74        74
118      2348       117         0         1         1
119      2325       112         1         6         7
120      2129        49        17        54        71
120      2356       119         0         1         1
120       356       119         0         1         1
120       331       114         0         6         6
121       281        95         4        22        26
121       276        94         4        23        27
122      2261        92         9        21        30
122      2318       108         6         8        14
122       286        95         5        22        27
123      2239        85         1        37        38
124      2202        75         0        49        49
124      2229        81         0        43        43
124       367       122         0         2         2
126      2240        85         6        35        41
126       369       122         0         4         4
127       336       114         4         9        13
128      2201        75        13        40        53
128       341       115         0        13        13
128       348       117         0        11        11
129      2078        40         3        86        89
131      2290        98         4        29        33
131      2153        55         0        76        76
132      2342       115         4        13        17
133      2185        68         0        65        65
133      2245        86        46         1        47
134      2369       122         3         9        12
134      2156        56        31        47        78
134      2155        56        30        48        78
134      2158        56        32        46        78
134       327       112         4        18        22
134       388       132         0         2         2
135      2324       112         7        16        23
135      2363       121         0        14        14
135      2388       132         0         3         3
136      2216        78         1        57        58
136       366       122         5         9        14
136       160        56        11        69        80
137      2215        78        27        32        59
137      2248        86        25        26        51
137      2257        89         0        48        48
137      2159        56         2        79        81
137       398       135         0         2         2
137       273        93         0        44        44
138      2287        98        10        30        40
139      2274        94        18        27        45
139      2267        93         0        46        46
139      2295       100         0        39        39
139       376       130         0         9         9
140      2237        82        12        46        58
140      2349       117        10        13        23
140      2242        85        12        43        55
141      2069        33         7       101       108
141       383       131         4         6        10
141       405       141         0         0         0
141       380       131         0        10        10
142      2234        82         8        52        60
142      2352       119        22         1        23
142       378       130         0        12        12
142       379       131         0        11        11
143      2346       117         0        26        26
144       403       141         0         3         3
145       145        53         0        92        92
145       152        55        14        76        90
145       365       122         1        22        23
146      2307       106        10        30        40
146       279        94         5        47        52
147       301       100         5        42        47
147       332       114         3        30        33
147       374       130        14         3        17
147       328       112         0        35        35
148       407       142         0         6         6
148       420       146         0         2         2
148       415       146         0         2         2
149      2385       132         0        17        17
150      2392       135         7         8        15
150       419       146         0         4         4
150       219        79         0        71        71
151      2180        67        18        66        84
151      2320       108        19        24        43
151      2386       132         8        11        19
151       381       131         4        16        20
151       424       150         0         1         1
151       297       100         0        51        51
152      2088        41         9       102       111
152      2292        98        26        28        54
152      2333       114         3        35        38
152      2416       146         3         3         6
153      2361       121        16        16        32
153      2405       141         2        10        12
153       387       132        10        11        21
153       159        56         0        97        97
154       393       135         4        15        19
154       395       135         4        15        19
154        74        36         0       118       118
154       182        67        21        66        87
155       401       141         4        10        14
155       402       141         4        10        14
155       404       141         4        10        14
155       406       141         4        10        14
155       303       106         0        49        49
156      2181        67         0        89        89
157      2220        79         1        77        78
157      2431       156         0         1         1
157       149        55        13        89       102
158       306       106         4        48        52
158      2397       135         6        17        23
158      2362       121         2        35        37
158      2193        69        35        54        89
158      2182        68         0        90        90
158        73        36         0       122       122
159      2253        89        14        56        70
159      2395       135        22         2        24
159      2183        68         1        90        91
160       400       141         4        15        19
162       454       161         0         1         1
163      2396       135         2        26        28
163       452       161         0         2         2
163       442       160         0         3         3
164      2105        45        14       105       119
164      2375       130         9        25        34
164       417       146         5        13        18
165      2226        81        12        72        84
165      2271        93         3        69        72
165      2461       164         0         1         1
165       436       159         0         6         6
166      2306       106         0        60        60
166       449       161         0         5         5
168       414       146        14         8        22
170      2377       130         8        32        40
170      2196        75        31        64        95
170       431       156         2        12        14
170       430       156         0        14        14
171      2426       150         1        20        21
171      2244        85        45        41        86
171       445       160         3         8        11
171       432       156         1        14        15
171       345       117         0        54        54
172      2374       130        16        26        42
172      2326       112         6        54        60
172       459       164         4         4         8
172       427       150        18         4        22
172       428       156         4        12        16
173      2207        76         1        96        97
173       410       142         4        27        31
174       438       159         3        12        15
175      2198        75        33        67       100
176      2118        47        15       114       129
176      2391       132         7        37        44
176      2139        51         0       125       125
176       460       164         4         8        12
177      2373       130         5        42        47
178       390       132         5        41        46
178       477       173         0         5         5
178       475       172         0         6         6
179       474       172         3         4         7
179       476       172         3         4         7
179       456       164         4        11        15
180      2137        51        17       112       129
180      2480       173         0         7         7
180       470       172         7         1         8
181      2076        36         5       140       145
181      2335       114         9        58        67
181       458       164         4        13        17
181       465       171         0        10        10
182       482       173         4         5         9
182       453       161         8        13        21
182       373       130        19        33        52
182       468       171         0        11        11
183      2411       142        27        14        41
183       443       160         3        20        23
