 Td        ID        Tj        Df        Dd        Db
 70       163        65         0         5         5
 70       178        68         0         2         2
 71       168        65         0         6         6
 72      2188        71         0         1         1
 72       186        71         0         1         1
 73      2166        65         0         8         8
 73       122        51         0        22        22
 73       187        71         0         2         2
 74      2168        67         6         1         7
 74       120        51         0        23        23
 75      2141        55         0        20        20
 75        87        39         0        36        36
 75       113        49         0        26        26
 76      2072        25         4        47        51
 76      2076        25         5        46        51
 76       134        53         9        14        23
 76       189        71         1         4         5
 76       181        68         0         8         8
 77      2140        55         7        15        22
 78      2101        46         4        28        32
 78      2123        51         4        23        27
 78       200        77         0         1         1
 78       185        71         0         7         7
 79       206        78         0         1         1
 79       190        76         0         3         3
 80       204        78         0         2         2
 80       198        77         0         3         3
 80       197        77         0         3         3
 80       209        78         0         2         2
 80       207        78         0         2         2
 80       172        67         0        13        13
 80       175        67         0        13        13
 81       208        78         0         3         3
 82      2138        53         7        22        29
 82      2190        76         6         0         6
 82       169        67         0        15        15
 82       179        68         7         7        14
 82       188        71         9         2        11
 83      2207        78         4         1         5
 83       192        76         0         7         7
 84      2117        49         4        31        35
 84      2218        83         0         1         1
 85      2084        39         2        44        46
 85      2099        46         4        35        39
 85      2192        76         0         9         9
 85       222        83         0         2         2
 85       213        82         0         3         3
 85       220        83         0         2         2
 86      2108        47         4        35        39
 86      2157        64         7        15        22
 86       215        82         0         4         4
 86       229        85         0         1         1
 87      2161        65         7        15        22
 89      2173        67         8        14        22
 90      2235        87         0         3         3
 90       231        85         0         5         5
 91      2175        68         8        15        23
 92      2113        49         4        39        43
 92       171        67         0        25        25
 92       174        67         0        25        25
 92       176        68         0        24        24
 92       205        78         0        14        14
 92       191        76         0        16        16
 92       195        76         0        16        16
 92       184        71         0        21        21
 92       196        76         0        16        16
 92       124        51         0        41        41
 92       146        55         1        36        37
 92       151        59         0        33        33
 92       141        55         1        36        37
 92       153        59         0        33        33
 92       154        59         0        33        33
 92       194        76         0        16        16
 92       129        52         2        38        40
 92       119        49         1        42        43
 92       131        52         1        39        40
 92       149        59         0        33        33
 92       158        64         0        28        28
 92       162        65         0        27        27
 92       139        53         1        38        39
 92       143        55         0        37        37
 92       138        53         0        39        39
 92       136        53         0        39        39
 92       145        55         0        37        37
 92       135        53         0        39        39
 92       140        53         0        39        39
 92        99        46         0        46        46
 92       116        49         0        43        43
 92       173        67         0        25        25
 92       170        67         0        25        25
 92       165        65         0        27        27
 92       155        64         0        28        28
 92       183        71         0        21        21
 92       123        51         0        41        41
 92        88        39         0        53        53
 92       199        77         0        15        15
 92       210        78         0        14        14
 92       203        77         0        15        15
 92       246        92         0        92         0
 93      2114        49         4        40        44
 94      2145        55         7        32        39
 94      2124        51         4        39        43
 94      2185        71         7        16        23
 94      2164        65         5        24        29
 94       247        92         0         2         2
 94       255        93         0         1         1
 94       243        91         0         3         3
 94       258        93         0         1         1
 94       240        91         0         3         3
 94       248        92         0         2         2
 95      2129        52         5        38        43
 95      2131        52         6        37        43
 95      2187        71        12        12        24
 95        90        39         0        56        56
 96      2150        59         6        31        37
 96       244        91         0         5         5
 96       245        91         0         5         5
 98      2172        67         2        29        31
 99       279        98         0         1         1
 99       260        96         0         3         3
100       274        98         0         2         2
100       277        98         0         2         2
100       264        96         0         4         4
101      2275        98         0         3         3
101       262        96         0         5         5
102         7         4         0        98        98
102       276        98         0         4         4
102       265        96         0         6         6
102       241        91         0        11        11
103       272        97         3         3         6
103       250        92         0        11        11
103       269        97         4         2         6
104       249        92         0        12        12
105       236        87         0        18        18
106       251        92         0        14        14
106       219        83         0        23        23
106       266        96         2         8        10
106       254        93        10         3        13
106       261        96         0        10        10
106       271        97         4         5         9
107      2118        49         4        54        58
107       242        91         0        16        16
108      2229        85        19         4        23
108      2283       107         0         1         1
108       285       107         0         1         1
109      2191        76         9        24        33
109      2249        92        16         1        17
109       281       107         1         1         2
109       180        68         0        41        41
109       166        65         0        44        44
110      2159        64         7        39        46
110      2216        82        18        10        28
110       292       110         0         0         0
110       177        68        13        29        42
111      2205        78        25         8        33
111      2151        59         0        52        52
111       201        77         0        34        34
112      2095        44         4        64        68
112      2097        44         4        64        68
112      2257        93         0        19        19
112       293       110         0         2         2
112       283       107         0         5         5
112       193        76        10        26        36
113       294       110         0         3         3
113       288       110         0         3         3
113      2298       111         0         2         2
113       295       111         0         2         2
113       167        65         0        48        48
114       305       114         0         0         0
114       182        68         0        46        46
115       299       111         0         4         4
115       297       111         0         4         4
115        24         9         0       106       106
116      2195        76         7        33        40
116      2199        77         7        32        39
116      2254        93         8        15        23
116      2209        78         0        38        38
116       252        92        13        11        24
116       306       114         0         2         2
116         4         4         0       112       112
116       156        64         0        52        52
116       284       107         0         9         9
117      2225        85         8        24        32
117      2184        71        11        35        46
117       307       114         0         3         3
118      2126        52         5        61        66
118       311       117         0         1         1
119      2237        87         8        24        32
119       317       118         0         1         1
120      2094        44         4        72        76
120      2328       119         0         1         1
121      2210        82         6        33        39
121      2221        83        10        28        38
121       322       118         0         3         3
122      2213        82         6        34        40
122      2214        82         6        34        40
122       323       119         0         3         3
123       320       118         0         5         5
123       326       119         1         3         4
124       309       117         0         7         7
124       319       118         0         6         6
124       329       119         0         5         5
124       315       117         0         7         7
125      2220        83         7        35        42
125      2171        67         7        51        58
125       321       118         0         7         7
125       340       125         0         0         0
125       341       125         0         0         0
126      2244        91         8        27        35
